DP_PRIMARY_ID,Grantee Name,Grant Number,HRSA Key Program,County Name,State Abbreviation,Grant Activity Code,Program Name,Financial Assistance,Award Year
X07HA00042,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",X07HA00042,HIV/AIDS,Lancaster County,NE,X07,Ryan White Part B HIV Care Grant Program (X07),149026.00,2015
X07HA00042,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",X07HA00042,HIV/AIDS,Lancaster County,NE,X07,Ryan White Part B HIV Care Grant Program (X07),209412.00,2016
X07HA00042,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",X07HA00042,HIV/AIDS,Lancaster County,NE,X07,Ryan White Part B HIV Care Grant Program (X07),2740997.00,2017
X07HA00042,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",X07HA00042,HIV/AIDS,Lancaster County,NE,X07,Ryan White Part B HIV Care Grant Program (X07),2874981.00,2018
H89HA00016,COUNTY OF LOS ANGELES,H89HA00016,HIV/AIDS,Los Angeles County,CA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),43438851.00,2018
P06HA31417,OKLAHOMA STATE UNIVERSITY,P06HA31417,HIV/AIDS,Tulsa County,OK,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
X07HA00086,MINISTRY OF HEALTH IN THE REP UBLIC OF THE MARSHALL ISLANDS,X07HA00086,HIV/AIDS,,MH,X07,Ryan White Part B HIV Care Grant Program (X07),1312.00,2015
X07HA00086,MINISTRY OF HEALTH IN THE REP UBLIC OF THE MARSHALL ISLANDS,X07HA00086,HIV/AIDS,,MH,X07,Ryan White Part B HIV Care Grant Program (X07),9080.00,2016
X07HA00086,MINISTRY OF HEALTH IN THE REP UBLIC OF THE MARSHALL ISLANDS,X07HA00086,HIV/AIDS,,MH,X07,Ryan White Part B HIV Care Grant Program (X07),39813.00,2017
X07HA00086,MINISTRY OF HEALTH IN THE REP UBLIC OF THE MARSHALL ISLANDS,X07HA00086,HIV/AIDS,,MH,X07,Ryan White Part B HIV Care Grant Program (X07),816.00,2018
X07HA00081,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,X07HA00081,HIV/AIDS,Kent County,DE,X07,Ryan White Part B HIV Care Grant Program (X07),182206.00,2016
X07HA00081,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,X07HA00081,HIV/AIDS,Kent County,DE,X07,Ryan White Part B HIV Care Grant Program (X07),4917535.00,2017
X07HA00081,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,X07HA00081,HIV/AIDS,Kent County,DE,X07,Ryan White Part B HIV Care Grant Program (X07),4924238.00,2018
X07HA00048,"HEALTH DEPARTMENT, OKLAHOMA STATE",X07HA00048,HIV/AIDS,Oklahoma County,OK,X07,Ryan White Part B HIV Care Grant Program (X07),5684769.00,2015
X07HA00048,"HEALTH DEPARTMENT, OKLAHOMA STATE",X07HA00048,HIV/AIDS,Oklahoma County,OK,X07,Ryan White Part B HIV Care Grant Program (X07),27380.00,2016
X07HA00048,"HEALTH DEPARTMENT, OKLAHOMA STATE",X07HA00048,HIV/AIDS,Oklahoma County,OK,X07,Ryan White Part B HIV Care Grant Program (X07),2812012.00,2017
X07HA00048,"HEALTH DEPARTMENT, OKLAHOMA STATE",X07HA00048,HIV/AIDS,Oklahoma County,OK,X07,Ryan White Part B HIV Care Grant Program (X07),8529299.00,2018
P06HA31405,Lifelong Medical Care,P06HA31405,HIV/AIDS,Alameda County,CA,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
X07HA00008,"Health & Family Services, Kentucky Cabinet for",X07HA00008,HIV/AIDS,Franklin County,KY,X07,Ryan White Part B HIV Care Grant Program (X07),388.00,2015
X07HA00008,"Health & Family Services, Kentucky Cabinet for",X07HA00008,HIV/AIDS,Franklin County,KY,X07,Ryan White Part B HIV Care Grant Program (X07),2429279.00,2016
X07HA00008,"Health & Family Services, Kentucky Cabinet for",X07HA00008,HIV/AIDS,Franklin County,KY,X07,Ryan White Part B HIV Care Grant Program (X07),9592973.00,2017
X07HA00008,"Health & Family Services, Kentucky Cabinet for",X07HA00008,HIV/AIDS,Franklin County,KY,X07,Ryan White Part B HIV Care Grant Program (X07),9791461.00,2018
P06HA31411,ERIE COUNTY MEDICAL CENTER CORP.,P06HA31411,HIV/AIDS,Erie County,NY,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),32852.00,2017
P06HA31406,"La Clinica Del Pueblo, Inc.",P06HA31406,HIV/AIDS,District of Columbia,DC,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
X07HA00053,"WYOMING, DEPARTMENT OF HEALTH",X07HA00053,HIV/AIDS,Laramie County,WY,X07,Ryan White Part B HIV Care Grant Program (X07),738083.00,2017
X07HA00053,"WYOMING, DEPARTMENT OF HEALTH",X07HA00053,HIV/AIDS,Laramie County,WY,X07,Ryan White Part B HIV Care Grant Program (X07),753387.00,2018
P06HA31412,"Housing Works Health Services III, Inc.",P06HA31412,HIV/AIDS,Kings County,NY,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
H89HA00003,"CITY OF NEWARK, NEW JERSEY",H89HA00003,HIV/AIDS,Essex County,NJ,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),29497.00,2016
H89HA00003,"CITY OF NEWARK, NEW JERSEY",H89HA00003,HIV/AIDS,Essex County,NJ,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),12514711.00,2018
X07HA12778,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",X07HA12778,HIV/AIDS,Sacramento County,CA,X07,Ryan White Part B HIV Care Grant Program (X07),4002005.00,2016
X07HA12778,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",X07HA12778,HIV/AIDS,Sacramento County,CA,X07,Ryan White Part B HIV Care Grant Program (X07),137550889.00,2017
X07HA12778,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",X07HA12778,HIV/AIDS,Sacramento County,CA,X07,Ryan White Part B HIV Care Grant Program (X07),140198224.00,2018
X07HA00085,REPUBLIC OF PALAU,X07HA00085,HIV/AIDS,Koror State,NA,X07,Ryan White Part B HIV Care Grant Program (X07),3186.00,2016
X07HA00085,REPUBLIC OF PALAU,X07HA00085,HIV/AIDS,Koror State,NA,X07,Ryan White Part B HIV Care Grant Program (X07),53250.00,2017
X07HA00085,REPUBLIC OF PALAU,X07HA00085,HIV/AIDS,Koror State,NA,X07,Ryan White Part B HIV Care Grant Program (X07),962.00,2018
H89HA11464,"SHELBY, COUNTY OF",H89HA11464,HIV/AIDS,Shelby County,TN,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),6744503.00,2018
X07HA00002,"HEALTH AND WELFARE, IDAHO DEPARTMENT OF",X07HA00002,HIV/AIDS,Ada County,ID,X07,Ryan White Part B HIV Care Grant Program (X07),1543940.00,2017
X07HA00002,"HEALTH AND WELFARE, IDAHO DEPARTMENT OF",X07HA00002,HIV/AIDS,Ada County,ID,X07,Ryan White Part B HIV Care Grant Program (X07),1735633.00,2018
X07HA00007,"HUMAN SERVICES, OREGON DEPARTMENT OF",X07HA00007,HIV/AIDS,Marion County,OR,X07,Ryan White Part B HIV Care Grant Program (X07),5689165.00,2016
X07HA00007,"HUMAN SERVICES, OREGON DEPARTMENT OF",X07HA00007,HIV/AIDS,Marion County,OR,X07,Ryan White Part B HIV Care Grant Program (X07),6477972.00,2017
X07HA00007,"HUMAN SERVICES, OREGON DEPARTMENT OF",X07HA00007,HIV/AIDS,Marion County,OR,X07,Ryan White Part B HIV Care Grant Program (X07),347782.00,2018
X07HA00010,South Dakota Department of Health,X07HA00010,HIV/AIDS,Hughes County,SD,X07,Ryan White Part B HIV Care Grant Program (X07),915224.00,2017
X07HA00010,South Dakota Department of Health,X07HA00010,HIV/AIDS,Hughes County,SD,X07,Ryan White Part B HIV Care Grant Program (X07),939965.00,2018
H89HA00034,"COUNTY OF, PALM BEACH",H89HA00034,HIV/AIDS,Palm Beach County,FL,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),7425449.00,2018
H89HA00020,"NASSAU, COUNTY OF",H89HA00020,HIV/AIDS,Nassau County,NY,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),186.00,2016
H89HA00020,"NASSAU, COUNTY OF",H89HA00020,HIV/AIDS,Nassau County,NY,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),5644616.00,2018
P06HA31401,New Hanover Regional Medical Center,P06HA31401,HIV/AIDS,New Hanover County,NC,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),68955.00,2017
H89HA11433,"NASHVILLE & DAVIDSON COUNTY, METROPOLITAN GOVERNMENT OF",H89HA11433,HIV/AIDS,Davidson County,TN,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),4350406.00,2018
H89HA00021,"Detroit, City of",H89HA00021,HIV/AIDS,Wayne County,MI,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),118629.00,2016
H89HA00021,"Detroit, City of",H89HA00021,HIV/AIDS,Wayne County,MI,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),9469909.00,2018
H89HA00015,"NEW YORK, CITY OF",H89HA00015,HIV/AIDS,Queens County,NY,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),95799060.00,2018
X07HA00089,DEPARTMENT OF HEALTH,X07HA00089,HIV/AIDS,Western District,AS,X07,Ryan White Part B HIV Care Grant Program (X07),23876.00,2015
X07HA00089,DEPARTMENT OF HEALTH,X07HA00089,HIV/AIDS,Western District,AS,X07,Ryan White Part B HIV Care Grant Program (X07),1.00,2017
X07HA00089,DEPARTMENT OF HEALTH,X07HA00089,HIV/AIDS,Western District,AS,X07,Ryan White Part B HIV Care Grant Program (X07),32908.00,2018
X07HA00021,"Health, Pennsylvania Department Of",X07HA00021,HIV/AIDS,Dauphin County,PA,X07,Ryan White Part B HIV Care Grant Program (X07),18984060.00,2016
X07HA00021,"Health, Pennsylvania Department Of",X07HA00021,HIV/AIDS,Dauphin County,PA,X07,Ryan White Part B HIV Care Grant Program (X07),39357797.00,2017
X07HA00021,"Health, Pennsylvania Department Of",X07HA00021,HIV/AIDS,Dauphin County,PA,X07,Ryan White Part B HIV Care Grant Program (X07),39338364.00,2018
P06HA31455,"Newark Community Health Centers, Inc.",P06HA31455,HIV/AIDS,Essex County,NJ,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
P06HA31452,"Equitas Health, Inc.",P06HA31452,HIV/AIDS,Franklin County,OH,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
X07HA00043,"HEALTH, NORTH DAKOTA DEPARTMENT OF",X07HA00043,HIV/AIDS,Burleigh County,ND,X07,Ryan White Part B HIV Care Grant Program (X07),677278.00,2015
X07HA00043,"HEALTH, NORTH DAKOTA DEPARTMENT OF",X07HA00043,HIV/AIDS,Burleigh County,ND,X07,Ryan White Part B HIV Care Grant Program (X07),696732.00,2016
X07HA00043,"HEALTH, NORTH DAKOTA DEPARTMENT OF",X07HA00043,HIV/AIDS,Burleigh County,ND,X07,Ryan White Part B HIV Care Grant Program (X07),36428.00,2017
X07HA00043,"HEALTH, NORTH DAKOTA DEPARTMENT OF",X07HA00043,HIV/AIDS,Burleigh County,ND,X07,Ryan White Part B HIV Care Grant Program (X07),43619.00,2018
H89HA00050,HENNEPIN COUNTY,H89HA00050,HIV/AIDS,Hennepin County,MN,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),85968.00,2016
H89HA00050,HENNEPIN COUNTY,H89HA00050,HIV/AIDS,Hennepin County,MN,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),5776911.00,2018
H89HA31891,BEXAR COUNTY HOSPITAL DISTRICT,H89HA31891,HIV/AIDS,Bexar County,TX,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),5319873.00,2018
P06HA31408,Bronx Community Health Network,P06HA31408,HIV/AIDS,Bronx County,NY,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),143250.00,2017
X07HA00018,"HEALTH AND HOSPITALS, LOUISIANA DEPARTMENT OF",X07HA00018,HIV/AIDS,Orleans Parish,LA,X07,Ryan White Part B HIV Care Grant Program (X07),16109784.00,2015
X07HA00018,"HEALTH AND HOSPITALS, LOUISIANA DEPARTMENT OF",X07HA00018,HIV/AIDS,Orleans Parish,LA,X07,Ryan White Part B HIV Care Grant Program (X07),20905890.00,2016
X07HA00018,"HEALTH AND HOSPITALS, LOUISIANA DEPARTMENT OF",X07HA00018,HIV/AIDS,Orleans Parish,LA,X07,Ryan White Part B HIV Care Grant Program (X07),7358483.00,2017
X07HA00018,"HEALTH AND HOSPITALS, LOUISIANA DEPARTMENT OF",X07HA00018,HIV/AIDS,Orleans Parish,LA,X07,Ryan White Part B HIV Care Grant Program (X07),3214652.00,2018
X07HA00038,"HEALTH AND ENVIRONMENTAL CONTROL, SOUTH CAROLINA DEPARTMENT OF",X07HA00038,HIV/AIDS,Richland County,SC,X07,Ryan White Part B HIV Care Grant Program (X07),72.00,2015
X07HA00038,"HEALTH AND ENVIRONMENTAL CONTROL, SOUTH CAROLINA DEPARTMENT OF",X07HA00038,HIV/AIDS,Richland County,SC,X07,Ryan White Part B HIV Care Grant Program (X07),11972695.00,2016
X07HA00038,"HEALTH AND ENVIRONMENTAL CONTROL, SOUTH CAROLINA DEPARTMENT OF",X07HA00038,HIV/AIDS,Richland County,SC,X07,Ryan White Part B HIV Care Grant Program (X07),24265143.00,2017
X07HA00038,"HEALTH AND ENVIRONMENTAL CONTROL, SOUTH CAROLINA DEPARTMENT OF",X07HA00038,HIV/AIDS,Richland County,SC,X07,Ryan White Part B HIV Care Grant Program (X07),24505936.00,2018
P06HA31415,"COMMUNITY HEALTH INTERVENTIONS & SICKLE CELL AGENCY, INCORPORATED",P06HA31415,HIV/AIDS,Cumberland County,NC,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),72500.00,2017
X07HA00025,"HEALTH RESEARCH, INC.",X07HA00025,HIV/AIDS,Albany County,NY,X07,Ryan White Part B HIV Care Grant Program (X07),6106092.00,2015
X07HA00025,"HEALTH RESEARCH, INC.",X07HA00025,HIV/AIDS,Albany County,NY,X07,Ryan White Part B HIV Care Grant Program (X07),1834879.00,2016
X07HA00025,"HEALTH RESEARCH, INC.",X07HA00025,HIV/AIDS,Albany County,NY,X07,Ryan White Part B HIV Care Grant Program (X07),139073848.00,2017
X07HA00025,"HEALTH RESEARCH, INC.",X07HA00025,HIV/AIDS,Albany County,NY,X07,Ryan White Part B HIV Care Grant Program (X07),142274605.00,2018
P06HA31450,BronxCare Health System,P06HA31450,HIV/AIDS,Bronx County,NY,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),108472.00,2017
H89HA00002,"Broward, County of",H89HA00002,HIV/AIDS,Broward County,FL,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),45.00,2016
H89HA00002,"Broward, County of",H89HA00002,HIV/AIDS,Broward County,FL,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),15775498.00,2018
P06HA30479,CENTRO ARARAT INC,P06HA30479,HIV/AIDS,Ponce Municipio,PR,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),100000.00,2016
X07HA25685,"Health & Human Services, Rhode Island Executive Office of",X07HA25685,HIV/AIDS,Providence County,RI,X07,Ryan White Part B HIV Care Grant Program (X07),1610.00,2016
X07HA25685,"Health & Human Services, Rhode Island Executive Office of",X07HA25685,HIV/AIDS,Providence County,RI,X07,Ryan White Part B HIV Care Grant Program (X07),3618958.00,2017
X07HA25685,"Health & Human Services, Rhode Island Executive Office of",X07HA25685,HIV/AIDS,Providence County,RI,X07,Ryan White Part B HIV Care Grant Program (X07),3744994.00,2018
X07HA00087,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,X07HA00087,HIV/AIDS,,NA,X07,Ryan White Part B HIV Care Grant Program (X07),481.00,2016
X07HA00087,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,X07HA00087,HIV/AIDS,,NA,X07,Ryan White Part B HIV Care Grant Program (X07),50000.00,2017
X07HA00087,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,X07HA00087,HIV/AIDS,,NA,X07,Ryan White Part B HIV Care Grant Program (X07),50334.00,2018
X07HA00032,DEPARTMENT OF HEALTH UTAH,X07HA00032,HIV/AIDS,Salt Lake County,UT,X07,Ryan White Part B HIV Care Grant Program (X07),1243718.00,2016
X07HA00032,DEPARTMENT OF HEALTH UTAH,X07HA00032,HIV/AIDS,Salt Lake County,UT,X07,Ryan White Part B HIV Care Grant Program (X07),4097837.00,2017
X07HA00032,DEPARTMENT OF HEALTH UTAH,X07HA00032,HIV/AIDS,Salt Lake County,UT,X07,Ryan White Part B HIV Care Grant Program (X07),4156145.00,2018
H89HA00032,"SAN BERNARDINO, COUNTY OF",H89HA00032,HIV/AIDS,San Bernardino County,CA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),1064992.00,2016
H89HA00032,"SAN BERNARDINO, COUNTY OF",H89HA00032,HIV/AIDS,San Bernardino County,CA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),6589361.00,2018
H89HA00006,CITY & COUNTY OF SAN FRANCISCO,H89HA00006,HIV/AIDS,San Francisco County,CA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),15430689.00,2018
U92HA31460,JHPIEGO CORPORATION,U92HA31460,HIV/AIDS,Baltimore City,MD,U92,Global HIV/AIDS Nursing Initiative (U92),500000.00,2017
U92HA31460,JHPIEGO CORPORATION,U92HA31460,HIV/AIDS,Baltimore City,MD,U92,Global HIV/AIDS Nursing Initiative (U92),4700000.00,2018
H89HA00008,"CHICAGO, CITY OF",H89HA00008,HIV/AIDS,Cook County,IL,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),93258.00,2016
H89HA00008,"CHICAGO, CITY OF",H89HA00008,HIV/AIDS,Cook County,IL,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),27563914.00,2018
P06HA31400,"Little River Medical Center, Inc.",P06HA31400,HIV/AIDS,Horry County,SC,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
